x,y,attempt,log_attempt,made,missed
0,0,2,0.3010299956639812,1,1
1,0,1,0.0,0,1
2,0,7,0.8450980400142568,2,5
3,0,5,0.6989700043360189,1,4
4,0,2,0.3010299956639812,0,2
5,0,7,0.8450980400142568,4,3
6,0,1,0.0,0,1
7,0,1,0.0,0,1
8,0,1,0.0,0,1
9,0,1,0.0,0,1
12,0,1,0.0,1,0
16,0,1,0.0,0,1
17,0,1,0.0,1,0
21,0,1,0.0,0,1
27,0,1,0.0,0,1
32,0,1,0.0,0,1
52,0,1,0.0,0,1
54,0,1,0.0,0,1
68,0,1,0.0,0,1
72,0,1,0.0,1,0
77,0,1,0.0,1,0
78,0,1,0.0,1,0
83,0,1,0.0,1,0
90,0,1,0.0,0,1
92,0,2,0.3010299956639812,1,1
93,0,3,0.47712125471966244,1,2
94,0,6,0.7781512503836436,1,5
95,0,8,0.9030899869919435,4,4
96,0,5,0.6989700043360189,0,5
97,0,3,0.47712125471966244,1,2
98,0,2,0.3010299956639812,2,0
0,1,1,0.0,1,0
1,1,5,0.6989700043360189,0,5
2,1,8,0.9030899869919435,5,3
3,1,10,1.0,3,7
4,1,4,0.6020599913279624,0,4
5,1,2,0.3010299956639812,1,1
6,1,1,0.0,0,1
8,1,1,0.0,0,1
10,1,1,0.0,0,1
11,1,1,0.0,0,1
31,1,1,0.0,0,1
49,1,1,0.0,0,1
75,1,1,0.0,0,1
76,1,1,0.0,0,1
77,1,1,0.0,1,0
80,1,1,0.0,0,1
82,1,1,0.0,0,1
84,1,2,0.3010299956639812,1,1
92,1,7,0.8450980400142568,2,5
93,1,2,0.3010299956639812,0,2
94,1,11,1.0413926851582251,2,9
95,1,4,0.6020599913279624,1,3
96,1,4,0.6020599913279624,1,3
97,1,8,0.9030899869919435,3,5
98,1,3,0.47712125471966244,1,2
99,1,2,0.3010299956639812,1,1
0,2,10,1.0,3,7
1,2,5,0.6989700043360189,2,3
2,2,35,1.5440680443502757,12,23
3,2,31,1.4913616938342726,14,17
4,2,18,1.255272505103306,6,12
5,2,11,1.0413926851582251,4,7
7,2,2,0.3010299956639812,1,1
8,2,2,0.3010299956639812,1,1
12,2,1,0.0,0,1
13,2,2,0.3010299956639812,2,0
16,2,1,0.0,0,1
17,2,1,0.0,0,1
23,2,1,0.0,1,0
24,2,2,0.3010299956639812,0,2
28,2,1,0.0,0,1
30,2,2,0.3010299956639812,0,2
31,2,1,0.0,0,1
35,2,1,0.0,0,1
44,2,1,0.0,0,1
45,2,1,0.0,1,0
48,2,1,0.0,1,0
51,2,2,0.3010299956639812,0,2
53,2,1,0.0,0,1
56,2,1,0.0,0,1
63,2,1,0.0,0,1
68,2,1,0.0,0,1
71,2,2,0.3010299956639812,1,1
72,2,1,0.0,1,0
74,2,3,0.47712125471966244,0,3
77,2,3,0.47712125471966244,0,3
78,2,1,0.0,0,1
80,2,1,0.0,0,1
83,2,2,0.3010299956639812,1,1
84,2,3,0.47712125471966244,1,2
87,2,2,0.3010299956639812,1,1
88,2,1,0.0,1,0
89,2,3,0.47712125471966244,0,3
90,2,3,0.47712125471966244,1,2
91,2,2,0.3010299956639812,1,1
92,2,16,1.2041199826559248,4,12
93,2,14,1.146128035678238,6,8
94,2,25,1.3979400086720377,8,17
95,2,27,1.4313637641589874,12,15
96,2,23,1.3617278360175928,7,16
97,2,20,1.3010299956639813,4,16
98,2,4,0.6020599913279624,2,2
99,2,10,1.0,8,2
0,3,15,1.1760912590556813,9,6
1,3,9,0.9542425094393249,2,7
2,3,34,1.5314789170422551,12,22
3,3,36,1.5563025007672873,16,20
4,3,13,1.1139433523068367,2,11
5,3,15,1.1760912590556813,5,10
6,3,2,0.3010299956639812,2,0
8,3,1,0.0,1,0
10,3,4,0.6020599913279624,2,2
13,3,1,0.0,0,1
19,3,2,0.3010299956639812,0,2
20,3,2,0.3010299956639812,0,2
21,3,2,0.3010299956639812,1,1
23,3,1,0.0,1,0
24,3,1,0.0,1,0
27,3,1,0.0,0,1
29,3,1,0.0,1,0
31,3,1,0.0,0,1
32,3,1,0.0,0,1
33,3,3,0.47712125471966244,0,3
35,3,2,0.3010299956639812,1,1
60,3,1,0.0,0,1
63,3,1,0.0,0,1
64,3,1,0.0,0,1
67,3,2,0.3010299956639812,0,2
69,3,2,0.3010299956639812,1,1
73,3,2,0.3010299956639812,0,2
74,3,1,0.0,0,1
76,3,2,0.3010299956639812,0,2
78,3,1,0.0,1,0
80,3,1,0.0,1,0
87,3,1,0.0,0,1
89,3,1,0.0,1,0
90,3,3,0.47712125471966244,0,3
91,3,3,0.47712125471966244,1,2
92,3,17,1.2304489213782739,6,11
93,3,11,1.0413926851582251,3,8
94,3,21,1.3222192947339193,6,15
95,3,31,1.4913616938342726,13,18
96,3,17,1.2304489213782739,6,11
97,3,21,1.3222192947339193,9,12
